Drug Class,Medications,AHA Lab Trigger,Caution Headline,Caution Note,ICD-10 Diagnostic Code,SNOMED,,
Anti-platelet,"Cilostazol, Abciximab, ReoPro, Eptifibatide (Integrilin), and Tirofiban (Aggrastat). ","dysfunctional or problematic lung, heart, liver, or kidney issues; abnormal platelet or red blood cell (RBC) count, hemoglobin, or hematocrit level",Adverse effect of agent primarily affecting cardiovascular system,"The medication prevents blood clot formation and increases the risk of excess bleeding in various organs, such as the respiratory tract, brain, and gut. It can present as blood in the gums, nose, urine, stool, or under the skin; gastrointestinal tract ulcer, dysregulated blood pressure, dizziness, orthostatic hypotension, irregular heart rate, and irregular heart rhythm, and increase the risk of heart attack, stroke, and multiorgan damage. ",T46.905A,293416008,,
Anti-platelet: Phosphodiesterease inhibitor,Dipyridamole,"dysfunctional or problematic lung, heart, liver, or kidney issues; abnormal platelet or red blood cell (RBC) count, hemoglobin, or hematocrit level",Adverse effect of agent primarily affecting cardiovascular system,"The medication prevents blood clot formation and increases the risk of excess bleeding in various organs, such as the respiratory tract, brain, and gut. It can present as blood in the gums, nose, urine, stool, or under the skin; gastrointestinal tract ulcer, dysregulated blood pressure, dizziness, orthostatic hypotension, irregular heart rate, and irregular heart rhythm, and increase the risk of heart attack, stroke, and multiorgan damage. ",T46.905A,293416008,,
Anti-platelet: anticoagulants,Warfarin (coumadin),"dysfunctional or problematic lung, heart, liver, or kidney issues; abnormal platelet or red blood cell (RBC) count, hemoglobin, or hematocrit level",Adverse effect of agent primarily affecting cardiovascular system,"The medication prevents blood clot formation and increases the risk of excess bleeding in various organs, such as the respiratory tract, brain, and gut. It can present as blood in the gums, nose, urine, stool, or under the skin; gastrointestinal tract ulcer, dysregulated blood pressure, dizziness, orthostatic hypotension, irregular heart rate, and irregular heart rhythm, and increase the risk of heart attack, stroke, and multiorgan damage. ",T46.905A,293416008,,
Anti-platelet: ADP antagonist ,"Prasuqrel, Ticlopidine, Ticagrelor, Dabigatran (pradaxa), Rivaroxaban (Xarelto), Apixaban (Eliquis), clopidogrel, edoxaban (Savaysa)","dysfunctional or problematic lung, heart, liver, or kidney issues; abnormal platelet or red blood cell (RBC) count, hemoglobin, or hematocrit level",Adverse effect of agent primarily affecting cardiovascular system,"The medication prevents blood clot formation and increases the risk of excess bleeding in various organs, such as the respiratory tract, brain, and gut. It can present as blood in the gums, nose, urine, stool, or under the skin; gastrointestinal tract ulcer, dysregulated blood pressure, dizziness, orthostatic hypotension, irregular heart rate, and irregular heart rhythm, and increase the risk of heart attack, stroke, and multiorgan damage. ",T46.905A,293416008,,
Anti-platelet: low-molecular weight heparins,"Bemiparin, Nadroparin, Reviparin, Tinzaparin, Enoxaparin, Parnaparin, Certoparin, Dalteparin, Ardeparin, Cinnamic acid, heparin, fondaparinux","dysfunctional or problematic lung, heart, liver, or kidney issues; abnormal platelet or red blood cell (RBC) count, hemoglobin, or hematocrit level",Adverse effect of agent primarily affecting cardiovascular system,"The medication prevents blood clot formation and increases the risk of excess bleeding in various organs, such as the respiratory tract, brain, and gut. It can present as blood in the gums, nose, urine, stool, or under the skin; gastrointestinal tract ulcer, dysregulated blood pressure, dizziness, orthostatic hypotension, irregular heart rate, and irregular heart rhythm, and increase the risk of heart attack, stroke, and multiorgan damage. ",T46.905A,293416008,,
Thrombolytics,"Alteplase (Activase, Cathflo Activase), Reteplase (Retavase), Tenecteplase (TNKase), Urokinase, Streptokinase, Anistreplase (APSAC), Eminase (anistreplase), Streptase (streptokinase, kabikinase), Abbokinase","dysfunctional or problematic lung, heart, liver, or kidney issues; abnormal platelet or red blood cell (RBC) count",Adverse effect of agent primarily affecting cardiovascular system,"The medication prevents blood clot formation and increases the risk of excess bleeding in various organs, such as the respiratory tract, brain, and gut. It can present as blood in the gums, nose, urine, stool, or under the skin; gastrointestinal tract ulcer, dysregulated blood pressure, dizziness, orthostatic hypotension, irregular heart rate, and irregular heart rhythm, and increase the risk of heart attack, stroke, and multiorgan damage. ",T46.905A,293416008,,
,,,,,,,,
CV: Vasodilators,"Hydralazine (Apresoline), Minoxidil (Loniten), Nitroglycerin (Nitrostat), Nitroprusside","dysfunctional or problematic lung, heart, liver, or kidney issues",Adverse effect of agent primarily affecting cardiovascular system,"The medication can dysregulate blood circulation and hormonal balance. It can present as fluid retention, irregular heart rate, and multiorgan dysfunction.",T46.905A,293416008,,
CV: Calcium-channel blockers,"Diltiazem, Verapamil, Nifedipine, Felodipine, Nicardipine, Nisoldipine, Amlodipine, Isradipine, Nimodipine, Norvasc, Lercanidipine, Bepridil, Cardizem, DynaCirc, Lacidipine, Procardia","dysfunctional or problematic lung, heart, liver, or kidney issues",Adverse effect of agent primarily affecting cardiovascular system,"The medication slows down calcium channels, alters heart contractility, and decreases blood flow to various organs. It can present as fluid retention in the lungs, gut, and extremities; chest pain (angina), irregular heart rhythm, dizziness, fatigue, headache, and orthostatic hypotension (sudden drop in blood pressure with changing position; also called POTS syndrome) and increase the risk of heart attack, stroke, and all-cause mortality.",T46.905A,293416008,,
CV: Alpha-adrenergic antagonists (alpha-1 blockers),"Doxazosin, Prazosin, Terazosin, Phentolamine, Yohimbine","dysfunctional or problematic lung, heart, or kidney issues",Adverse effect of agent primarily affecting cardiovascular system,"The medication dilates vascular smooth muscle and can present as urinary incontinence, dizziness, headache, fatigue, weakness, nausea, sexual dysfunction, slow heart rate (bradycardia), and low blood pressure (orthostatic hypotension -- sudden drop in blood pressure upon standing; also known as POTS syndrome).",T46.905A,293416008,,
