Based_On,Drug Category,Drug Class,Medications,AHA Lab Trigger - Organs Dysfunctional,AHA Lab Trigger - Organs Problematic,AHA Lab Trigger - Biomarker Abnormal,AHA Lab Trigger - Biomarker Low,AHA Lab Trigger - Biomarker High,Caution Note,ICD-10 Diagnosis,ICD-10 Diagnostic Code,SNOMED,,
Class,Anti-platelet,Anti-platelet,"Cilostazol, Abciximab, Reopro, Eptifibatide, Integrilin, Tirofiban, Aggrastat","lungs, heart, liver, kidney","lungs, heart, liver, kidney","platelet, RBC, hemoglobin, hematocrit",,,"The medication works by preventing blood clot formation but may increase the risk of excess bleeding. Potential manifestations include bleeding from the gums or nose, blood in the urine or stool, or bruising under the skin. Additional adverse effects may involve gastrointestinal ulcers, sudden fluctuations in blood pressure, dizziness, irregular heart rate or rhythm, in severe cases, an elevated risk of heart attack, stroke, or multiorgan injury. ",Adverse effect of agent primarily affecting cardiovascular system,T46.905A,293416008,,
Class,Anti-platelet,Phosphodiesterease inhibitor,Dipyridamole,"lungs, heart, liver, kidney","lungs, heart, liver, kidney",,,,"The medication works by preventing blood clot formation but may increase the risk of excess bleeding. Potential manifestations include bleeding from the gums or nose, blood in the urine or stool, or bruising under the skin. Additional adverse effects may involve gastrointestinal ulcers, sudden fluctuations in blood pressure, dizziness, irregular heart rate or rhythm, in severe cases, an elevated risk of heart attack, stroke, or multiorgan injury. ",Adverse effect of agent primarily affecting cardiovascular system,T46.905A,293416008,,
Class,Anti-platelet,Anticoagulants,"Warfarin, Coumadin","lungs, heart, liver, kidney","lungs, heart, liver, kidney","platelet, RBC, hemoglobin, hematocrit",,,"The medication works by preventing blood clot formation but may increase the risk of excess bleeding. Potential manifestations include bleeding from the gums or nose, blood in the urine or stool, or bruising under the skin. Additional adverse effects may involve gastrointestinal ulcers, sudden fluctuations in blood pressure, dizziness, irregular heart rate or rhythm, in severe cases, an elevated risk of heart attack, stroke, or multiorgan injury. ",Adverse effect of agent primarily affecting cardiovascular system,T46.905A,293416008,,
Class,Anti-platelet,ADP antagonist,"Prasuqrel, Ticlopidine, Ticagrelor, Dabigatran, Pradaxa, Rivaroxaban, Xarelto, Apixaban, Eliquis, Clopidogrel, Edoxaban, Savaysa","lungs, heart, liver, kidney","lungs, heart, liver, kidney","platelet, RBC, hemoglobin, hematocrit",,,"The medication works by preventing blood clot formation but may increase the risk of excess bleeding. Potential manifestations include bleeding from the gums or nose, blood in the urine or stool, or bruising under the skin. Additional adverse effects may involve gastrointestinal ulcers, sudden fluctuations in blood pressure, dizziness, irregular heart rate or rhythm, in severe cases, an elevated risk of heart attack, stroke, or multiorgan injury. ",Adverse effect of agent primarily affecting cardiovascular system,T46.905A,293416008,,
Class,Anti-platelet,Low-molecular weight heparins,"Bemiparin, Nadroparin, Reviparin, Tinzaparin, Enoxaparin, Parnaparin, Certoparin, Dalteparin, Ardeparin, Cinnamic Acid, Heparin, Fondaparinux","lungs, heart, liver, kidney","lungs, heart, liver, kidney","platelet, RBC, hemoglobin, hematocrit",,,"The medication works by preventing blood clot formation but may increase the risk of excess bleeding. Potential manifestations include bleeding from the gums or nose, blood in the urine or stool, or bruising under the skin. Additional adverse effects may involve gastrointestinal ulcers, sudden fluctuations in blood pressure, dizziness, irregular heart rate or rhythm, in severe cases, an elevated risk of heart attack, stroke, or multiorgan injury. ",Adverse effect of agent primarily affecting cardiovascular system,T46.905A,293416008,,
Class,Thrombolytics,Thrombolytics,"Alteplase, Activase, Cathflo Activase, Reteplase, Retavase, Tenecteplase, Tnkase, Urokinase, Streptokinase, Anistreplase, Apsac, Eminase, Anistreplase, Streptase, Streptokinase, Kabikinase, Abbokinase","lungs, heart, liver, kidney","lungs, heart, liver, kidney","platelet, RBC",,,"The medication works by preventing blood clot formation but may increase the risk of excess bleeding. Potential manifestations include bleeding from the gums or nose, blood in the urine or stool, or bruising under the skin. Additional adverse effects may involve gastrointestinal ulcers, sudden fluctuations in blood pressure, dizziness, irregular heart rate or rhythm, in severe cases, an elevated risk of heart attack, stroke, or multiorgan injury. ",Adverse effect of agent primarily affecting cardiovascular system,T46.905A,293416008,,
Class,CV,Vasodilators,"Hydralazine, Apresoline, Minoxidil, Loniten, Nitroglycerin, Nitrostat, Nitroprusside","lungs, heart, liver, kidney","lungs, heart, liver, kidney",,,,"The medication can interfere with normal blood flow and hormone balance, which may cause fluid buildup, changes in heart rate, and issues affecting multiple organs.",Adverse effect of agent primarily affecting cardiovascular system,T46.905A,293416008,,
Class,CV,Calcium-channel blockers,"Diltiazem, Verapamil, Nifedipine, Felodipine, Nicardipine, Nisoldipine, Amlodipine, Isradipine, Nimodipine, Norvasc, Lercanidipine, Bepridil, Cardizem, Dynacirc, Lacidipine, Procardia","lungs, heart, liver, kidney","lungs, heart, liver, kidney",,,,"The medication functions by slowing calcium channel activity, reducing heart contractility, and lowering blood flow to various organs. These effects may lead to fluid retention in various organs, such as the lungs, gastrointestinal tract, and extremities. It can also manifest as chest pain (angina), irregular heart rhythm, dizziness, fatigue, headache, and a sudden drop in blood pressure upon standing (also known as POTS syndrome). Prolonged use or improper dosing may increase the risk of heart attack, stroke, and overall mortality.",Adverse effect of agent primarily affecting cardiovascular system,T46.905A,293416008,,
Class,CV,Alpha-adrenergic antagonists (alpha-1 blockers),"Doxazosin, Prazosin, Terazosin, Phentolamine, Yohimbine","lungs, heart, kidney","lungs, heart, kidney",,,,"The medication functions by dilating vascular smooth muscle throughout the body. These effects may lead to urinary incontinence, dizziness, headache, fatigue, weakness, nausea, sexual dysfunction, slow heart rate (bradycardia), and a sudden drop in blood pressure upon standing (also known as POTS syndrome).",Adverse effect of agent primarily affecting cardiovascular system,T46.905A,293416008,,
Class,CV,Alpha-adrenergic agonists,"Clonidine, Guanfacine, Guanabenz, Dexmedetomidine","lungs, heart, liver, kidney","lungs, heart, liver, kidney","sodium, potassium, chloride, magnesium, phosphorus",,,"The medication functions by decreasing the release of the stress hormone norepinephrine and constricting arterial blood flow. These effects may lead to irregular heart rate or rhythm, sudden fluctuations in blood pressure, moood, and cognitive function. Prolonged use or improper dosing may increase the risk of heart attack, stroke, and overall mortality.",Adverse effect of agent primarily affecting cardiovascular system,T46.905A,293416008,,
